TOMO 09 — COLECCIONABLES

Cabezones, revistas, holocintas, notas, llaves, terminales y objetos únicos.

Edición 5.1 — Versión refinada para lectura de libro

Nota editorial: esta versión conserva la información útil de las iteraciones anteriores, unifica fichas heredadas bajo IDs maestros y retira del cuerpo principal títulos técnicos repetidos, separadores visuales y marcas internas de trabajo. Las fuentes, alias y notas de trazabilidad no se pierden: se conservan en apéndice cuando corresponde.
## Validación final de coleccionables

Los coleccionables se publican con tres estados posibles: validado, operativo de mesa o pendiente de validación fina. No se inventan nombres oficiales cuando no estén confirmados.

| Estado | Uso en libro |
|---|---|
| Validado | aparece como ficha canónica completa |
| Operativo de mesa | puede usarse como pista, llave, nota o terminal sin nombre oficial |
| Pendiente | se conserva para revisión, no se elimina |

### Uso jugable
Un coleccionable debe indicar al menos: ID COL, tipo, ubicación U, subzona o punto físico, uso, riesgo, recompensa y cruce con misión/facción si aplica.

TOMO 09 — COLECCIONABLES: USO JUGABLE Y PISTAS

1. TIPO DE USO JUGABLE
Cada COL debe clasificarse como minimo en uno de estos usos:
- Bonus: entrega efecto mecanico.
- Pista: abre informacion o ruta.
- Lore: aporta contexto sin efecto directo.
- Mision: requerido para avanzar o cerrar objetivo.
- Llave/Acceso: abre puerta, terminal, caja, ruta o subzona.
- Recompensa: objeto unico, revista, cabezon, holocinta o documento valioso.

2. CUANDO UN COLECCIONABLE NO TIENE NOMBRE OFICIAL VALIDADO
No inventar nombre canonico. Usar:
COL-xxxx — Registro operativo de mesa
Nombre oficial: REQUIERE_VALIDACION
Ubicacion: U-xxxx si existe
Subzona: segun Tomo 06
Uso: pista/lore/mision/llave/recompensa

3. TERMINALES, NOTAS Y HOLOCINTAS EN MISIONES
Si una mision pide un registro, usar Tomo 09 como fuente de ID. Si no existe ficha, crear alias pendiente en vez de usar ID de bestiario, arma o ubicacion.


Criterio aplicado:
- No se elimina ninguna ficha COL previa; este bloque añade una capa operativa para los pendientes detectados en I4.6.
- Tomo 01 y Tomo 10 permanecen intactos y fuera de esta entrega.
- Las entradas de esta sección se derivan del mapa táctico textual del Tomo 06: ubicación U, subzona, terminal/objeto, AP e interacción.
- Cuando el Atlas dice 'holocinta/nota/entrada posible', el nombre es operativo y no canónico; no se inventa un nombre oficial de lore.
- Si más adelante se valida el nombre oficial de una holocinta, nota, llave o terminal, se reemplaza el nombre operativo conservando el ID COL como alias.
- AP significa siempre Puntos de Acción.

### Tabla operativa I4.7
| ID | Tipo operativo | Nombre operativo / estado | Ubicación Tomo 06 | ID U | Subzona exacta | Soporte / interacción | AP recomendado | Estado |

#### COL-0044 — Dunwich
- Tipo: Holocinta / grupo documental.
- Ejemplos conservados: Hugo, administración, Tim dispara.
- Uso jugable: Horror ambiental.
- ID Tomo 06: `U-xxxx por holocinta` — requiere cruce individual cuando el Atlas registre el punto físico.
- Estado editorial: Grupo operativo; no borrar ejemplos ni convertirlos en enemigos, armas o misiones.

#### COL-0045 — Eddie Winter
- Tipo: Holocinta / grupo documental.
- Ejemplos conservados: Holocintas 0-9.
- Uso jugable: Caso criminal / Nick.
- ID Tomo 06: `U-xxxx por holocinta` — requiere cruce individual cuando el Atlas registre el punto físico.
- Estado editorial: Grupo operativo; no borrar ejemplos ni convertirlos en enemigos, armas o misiones.

#### COL-0046 — Gwinnett / Buddy
- Tipo: Holocinta / grupo documental.
- Ejemplos conservados: Recetas Brew/Lager/Pils/Stout.
- Uso jugable: Trouble Brewin' y bebidas.
- ID Tomo 06: `U-xxxx por holocinta` — requiere cruce individual cuando el Atlas registre el punto físico.
- Estado editorial: Grupo operativo; no borrar ejemplos ni convertirlos en enemigos, armas o misiones.

#### COL-0047 — Silver Shroud
- Tipo: Holocinta / grupo documental.
- Ejemplos conservados: Guion y búsqueda del Silver Shroud.
- Uso jugable: Noir urbano.
- ID Tomo 06: `U-xxxx por holocinta` — requiere cruce individual cuando el Atlas registre el punto físico.
- Estado editorial: Grupo operativo; no borrar ejemplos ni convertirlos en enemigos, armas o misiones.

#### COL-0048 — Aeronaves
- Tipo: Holocinta / grupo documental.
- Ejemplos conservados: Skylanes 1665/1981.
- Uso jugable: Microhistorias.
- ID Tomo 06: `U-xxxx por holocinta` — requiere cruce individual cuando el Atlas registre el punto físico.
- Estado editorial: Grupo operativo; no borrar ejemplos ni convertirlos en enemigos, armas o misiones.

#### COL-0049 — Acceso/anulación
- Tipo: Holocinta / grupo documental.
- Ejemplos conservados: Protectron, torretas, reflectores, Sentinel.
- Uso jugable: Control táctico.
- ID Tomo 06: `U-xxxx por holocinta` — requiere cruce individual cuando el Atlas registre el punto físico.
- Estado editorial: Grupo operativo; no borrar ejemplos ni convertirlos en enemigos, armas o misiones.

### Minijuegos RobCo Fun operativos

#### COL-0050 — Comando Atómico
- Tipo: Holocinta / minijuego RobCo Fun.
- Nombre original: Atomic Command.
- Uso jugable: colección, logro, descanso tonal o prueba abstracta de terminal.
- ID Tomo 06: `U-xxxx por copia`.
- Estado editorial: Coleccionable lúdico; no confundir con misión principal.

#### COL-0051 — Grognak y las ruinas de rubí
- Tipo: Holocinta / minijuego RobCo Fun.
- Nombre original: Grognak and the Ruby Ruins.
- Uso jugable: colección, logro, descanso tonal o prueba abstracta de terminal.
- ID Tomo 06: `U-xxxx por copia`.
- Estado editorial: Coleccionable lúdico; no confundir con misión principal.

#### COL-0052 — Pipfall
- Tipo: Holocinta / minijuego RobCo Fun.
- Nombre original: Pipfall.
- Uso jugable: colección, logro, descanso tonal o prueba abstracta de terminal.
- ID Tomo 06: `U-xxxx por copia`.
- Estado editorial: Coleccionable lúdico; no confundir con misión principal.

#### COL-0053 — Amenaza Roja
- Tipo: Holocinta / minijuego RobCo Fun.
- Nombre original: Red Menace.
- Uso jugable: colección, logro, descanso tonal o prueba abstracta de terminal.
- ID Tomo 06: `U-xxxx por copia`.
- Estado editorial: Coleccionable lúdico; no confundir con misión principal.

#### COL-0054 — Invasores Zeta
- Tipo: Holocinta / minijuego RobCo Fun.
- Nombre original: Zeta Invaders.
- Uso jugable: colección, logro, descanso tonal o prueba abstracta de terminal.
- ID Tomo 06: `U-xxxx por copia`.
- Estado editorial: Coleccionable lúdico; no confundir con misión principal.

### Notas, terminales, llaves y documentos operativos

#### COL-0055 — Notas Vault-Tec
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Lore, contraseña, experimento, pista.
- Ubicación típica: Vaults, oficinas, laboratorios.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0056 — Órdenes de saqueadores
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Amenaza local y jerarquía.
- Ubicación típica: Campamentos raider.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0057 — Diarios de cadáveres
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Microhistoria y tesoro.
- Ubicación típica: Cadáveres, refugios, camas.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0058 — Contraseñas escritas
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Acceso sin hackeo.
- Ubicación típica: Escritorios, cajas, cadáveres.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0059 — Cartas familiares
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Drama ambiental.
- Ubicación típica: Casas, escuelas, refugios.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0060 — Notas de tesoro
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Ruta o botín oculto.
- Ubicación típica: Jamaica Plain, casas, ruinas.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0061 — Notas de Gunners
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Contratos y operaciones.
- Ubicación típica: Bases militares/mercenarias.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0062 — Notas de Covenant
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Paranoia synth.
- Ubicación típica: Covenant y Compound.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0063 — Notas del Instituto
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Ciencia, vigilancia y synths.
- Ubicación típica: Institute, C.I.T., laboratorios.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0064 — Terminales de seguridad
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Puertas, torretas, robots, reflectores.
- Ubicación típica: Fábricas, hospitales, bases.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

#### COL-0065 — Llaves y contraseñas
- Tipo: Nota / terminal / llave / documento según caso.
- Función: Acceso a puertas, cajas, terminales o rutas.
- Ubicación típica: Cadáveres, jefes, escritorios.
- ID Tomo 06: `U-xxxx por entrada`.
- Cruce: Tomo 02 si activa/avanza misión; Tomo 08 si revela facción; Tomo 06 si marca punto físico.
- Estado editorial: Categoría operativa para indexación; requiere fichas individuales en maquetación fina.

### Regla final de Tomo 09 I4.4
- `COL-0001` a `COL-0020`: cabezones con ubicación `U-xxxx` ya validada.
- `COL-0021`: Mission Log reclasificado desde alias heredado `B-263`.
- `COL-0022` a `COL-0065`: series, grupos y categorías operativas conservadas para indexación sin inventar puntos exactos.
- El punto exacto individual se completa cuando Tomo 06 lo registre; no se borra la entrada si falta ubicación fina.

Criterio aplicado:
- Tomo 01 y Tomo 10 NO se modifican ni se incluyen en esta entrega.
- No se elimina información importante: los IDs, textos y fichas heredadas se conservan como alias, apoyo o revisión manual.
- Los ajustes nuevos se aplican como capa técnica para que el contenido heredado no compita con IDs maestros.
- Si un dato no puede validarse contra Tomo 06, queda marcado como REQUIERE_VALIDACION_MANUAL o REQUIERE_MAPEO_U.

## Ajuste Tomo 09 — Protección de IDs COL y entrada Mission Log

La prueba de Iteración 4.2 detectó que el índice preliminar I4 usaba códigos `COL-0001` a `COL-0010` para encabezados editoriales, lo que competía con las fichas reales de cabezones `COL-0001` a `COL-0020`. No se elimina ese índice: queda marcado como índice no operativo `IDX-COLEC-xxxx` para no romper el catálogo de coleccionables reales.

También se agrega `COL-0021 — Mission Log` como referencia pendiente, porque en Tomo 02 aparecía el alias heredado `B-263 Mission Log`; no corresponde a bestiario y debe tratarse como nota/holocinta/registro de misión hasta validación manual.

### COL-0021 — Mission Log
- Tipo: Nota / holocinta / registro de misión.
- Alias heredado: `B-263 Mission Log`.
- Ubicación: University Credit Union.
- ID Tomo 06: REQUIERE_MAPEO_U — no se encontró ficha directa validada en Tomo 06 durante esta pasada.
- Subzona / punto físico: REQUIERE_VALIDACION_MANUAL.
- Contenedor / soporte: REQUIERE_VALIDACION_MANUAL.
- Requisito: Leer registro de misión en la ubicación indicada por Tomo 02.
- Riesgo: usar riesgo de zona/ubicación más cercana del Tomo 06 hasta crear ficha directa.
- Efecto: avance, pista o cierre de etapa de misión; no es enemigo ni NPC.
- Cruce Tomo 02: referencia reclasificada desde `B-263 Mission Log`.
- Cruce Tomo 03: no aplica; `B-263` queda solo como alias heredado, no como bestiario.
- Estado editorial: conservar y validar manualmente antes de maquetación final.

Criterio aplicado:
- Tomo 01 y Tomo 10 NO se modifican.
- No se elimina información de coleccionables.
- Los 20 cabezones mantienen sus fichas `COL-xxxx`.
- Se reemplaza `REQUIERE_MAPEO_U` solo cuando la ubicación fue encontrada en Tomo 06 con ID maestro `U-xxxx`.
- El punto físico/subzona detallado se conserva como dato pendiente cuando Tomo 06 no lo valida con precisión.

## Ajuste Tomo 09 — Mapeo de cabezones contra Tomo 06

Los cabezones quedan cruzados con el ID maestro de ubicación del Tomo 06. Donde la ubicación tiene entrada compuesta, se usa el ID principal y se conserva la ubicación secundaria como nota de acceso. No se inventan subzonas nuevas: si el punto exacto no está validado por el Atlas, queda como `requiere validación fina`.

Criterio aplicado:
- Tomo 01 y Tomo 10 NO se modifican.
- No se elimina información importante ni relevante.
- Las correcciones se agregan como capa de normalización, alias, cruce o apéndice operativo.
- Si un dato no puede validarse con seguridad, se conserva y se marca como REQUIERE REVISIÓN MANUAL.
- Los IDs heredados se conservan como alias para no romper búsquedas ni referencias anteriores.
- AP se mantiene como Puntos de Acción. No se introduce PA como término de acciones.

## Ajuste específico Tomo 09 — Coleccionables

Objetivo 4.1:
- Convertir la tabla de cabezones existente en fichas mínimas operativas `COL-xxxx`.
- No inventar IDs `U-xxxx` cuando el punto exacto no esté validado; se usa `REQUIERE_MAPEO_U`.
- Mantener la tabla original como referencia rápida.

### Fichas mínimas operativas de cabezones
### COL-0001 — Fuerza
- Tipo: Cabezón.
- Ubicación: Mass Fusion Building.
- ID Tomo 06: U-0223 — Mass Fusion building.
- Subzona / punto físico: Sobre estatua alta.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Fuerza +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0223 — Mass Fusion building` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0002 — Percepción
- Tipo: Cabezón.
- Ubicación: Museo de la Libertad.
- ID Tomo 06: U-0012 — Museum of Freedom.
- Subzona / punto físico: Mesa junto a Preston.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Percepción +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0012 — Museum of Freedom` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0003 — Resistencia
- Tipo: Cabezón.
- Ubicación: Poseidon Energy.
- ID Tomo 06: U-0172 — Poseidon Energy.
- Subzona / punto físico: Zona superior/interior.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Resistencia +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0172 — Poseidon Energy` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0004 — Carisma
- Tipo: Cabezón.
- Ubicación: Parsons State Insane Asylum.
- ID Tomo 06: U-0030 — Parsons State Insane Asylum.
- Subzona / punto físico: Oficina de Cabot.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Carisma +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0030 — Parsons State Insane Asylum` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0005 — Inteligencia
- Tipo: Cabezón.
- Ubicación: Boston Public Library.
- ID Tomo 06: U-0204 — Boston Public Library.
- Subzona / punto físico: Sala mecánica/terminales.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Inteligencia +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0204 — Boston Public Library` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0006 — Agilidad
- Tipo: Cabezón.
- Ubicación: Wreck of FMS Northern Star.
- ID Tomo 06: U-0174 — Wreck of the FMS Northern Star.
- Subzona / punto físico: Proa/barco.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Agilidad +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0174 — Wreck of the FMS Northern Star` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0007 — Suerte
- Tipo: Cabezón.
- Ubicación: Spectacle Island.
- ID Tomo 06: U-0175 — Spectacle Island.
- Subzona / punto físico: Barco/locker.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Suerte +1.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0175 — Spectacle Island` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0008 — Trueque
- Tipo: Cabezón.
- Ubicación: Longneck Lukowski's Cannery.
- ID Tomo 06: U-0094 — Longneck Lukowski's Cannery.
- Subzona / punto físico: Oficina superior.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Mejores precios.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0094 — Longneck Lukowski's Cannery` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0009 — Armas grandes
- Tipo: Cabezón.
- Ubicación: Vault 95.
- ID Tomo 06: U-0126 — Vault 95.
- Subzona / punto físico: Zona residencial/radio.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Daño pesado.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0126 — Vault 95` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0010 — Armas de energía
- Tipo: Cabezón.
- Ubicación: Fort Hagen.
- ID Tomo 06: U-0071 — Fort Hagen.
- Subzona / punto físico: Cocina/command center.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Daño energía.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0071 — Fort Hagen` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0011 — Explosivos
- Tipo: Cabezón.
- Ubicación: Saugus Ironworks.
- ID Tomo 06: U-0042 — Saugus Ironworks.
- Subzona / punto físico: Zona jefe.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Daño explosivo.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0042 — Saugus Ironworks` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0012 — Ganzúa
- Tipo: Cabezón.
- Ubicación: Pickman Gallery.
- ID Tomo 06: U-0215 — Pickman Gallery.
- Subzona / punto físico: Última cámara.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Mejor ganzúa.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0215 — Pickman Gallery` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0013 — Medicina
- Tipo: Cabezón.
- Ubicación: Vault 81.
- ID Tomo 06: U-0081 — Vault 81.
- Subzona / punto físico: Zona secreta.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Mejor curación.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0081 — Vault 81` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0014 — Cuerpo a cuerpo
- Tipo: Cabezón.
- Ubicación: Trinity Tower.
- ID Tomo 06: U-0208 — Trinity Tower.
- Subzona / punto físico: Celda superior.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Daño melee.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0208 — Trinity Tower` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0015 — Reparación
- Tipo: Cabezón.
- Ubicación: Corvega Assembly Plant.
- ID Tomo 06: U-0065 — Corvega assembly plant.
- Subzona / punto físico: Pasarela exterior.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Núcleos duran más.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0065 — Corvega assembly plant` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0016 — Ciencia
- Tipo: Cabezón.
- Ubicación: Vault 75 / Malden Middle School.
- ID Tomo 06: U-0047 — Vault 75; acceso asociado a U-0046 — Malden Middle School.
- Subzona / punto físico: Oficina/laboratorio.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Hackeo mejor.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0047 — Vault 75; acceso asociado a U-0046 — Malden Middle School` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
- Estado editorial: Ficha mínima operativa creada desde tabla existente; ID U validado contra Tomo 06 sin inventar subzona ni contenedor.

### COL-0017 — Armas pequeñas
- Tipo: Cabezón.
- Ubicación: Gunners Plaza.
- ID Tomo 06: U-0161 — Gunners plaza.
- Subzona / punto físico: Sala broadcast.
- Contenedor / soporte: REQUIERE REVISIÓN MANUAL si el Tomo 06 no lo especifica.
- Requisito: Acceso a la ubicación; validar combate, cerradura, terminal o misión según Tomo 06/Tomo 02.
- Riesgo: Usar riesgo de ubicación del Tomo 06.
- Efecto: Daño balístico.
- Cruce Tomo 02: Solo si una misión lo requiere o atraviesa la ubicación.
- Cruce Tomo 06: Ubicación `U-0161 — Gunners plaza` validada contra Tomo 06; subzona/contenedor exacto requiere validación fina si no aparece en el Atlas.
